"Advertising.Expenditure","Sales.Revenue"
337.1,22.1
128.9,10.4
132.4,12
251.3,16.5
250,17.9
132.6,7.2
113.8,11.8
151.4,13.2
11.7,4.8
223.6,15.6
96.1,12.6
242.7,17.4
124.8,9.2
112.3,13.7
283,19
296,22.4
218.4,12.5
376.8,24.4
108,11.3
190.3,14.6
299.5,18
266,17.5
78.7,5.6
271.4,20.5
93.2,9.7
285.9,17
184.8,15
279.7,20.9
298.8,18.9
127.4,10.5
364.4,21.4
168.9,11.9
128.7,13.2
285.9,17.4
104.5,11.9
303.3,17.8
315.7,25.4
169.8,14.7
104.9,10.1
297.7,21.5
256.4,16.6
249.1,17.1
323.1,20.7
241.7,17.9
94.1,8.5
229.1,16.1
135.3,10.6
299.9,23.2
292.9,19.8
115.4,9.7
237.5,16.4
113.6,10.7
297.7,22.6
287.5,21.2
307.4,20.2
308.3,23.7
76.8,5.5
172,13.2
298.1,23.8
249.5,18.4
76.9,8.1
358.7,24.2
282.1,20.7
140.7,14
202.8,16
79.2,11.3
58.3,11
164,13.4
275.9,18.9
287.9,22.3
268.4,18.3
155.8,12.4
79.1,8.8
166.4,11
251.1,17
150,8.7
49.8,6.9
163.2,14.2
44.7,5.3
146.8,11
125.4,11.8
280.8,17.3
128.1,11.3
148.5,13.6
290.3,21.7
277.3,20.2
119.8,12
214.5,16
187.2,12.9
209,16.7
148.5,14
63.1,7.3
310.2,19.4
359.7,22.2
132.3,11.5
247.8,16.9
207,16.7
227.9,20.5
383.2,25.4
222.8,17.2
276.5,16.7
433.6,23.8
311.7,19.8
223,19.7
277.8,20.7
243.3,15
65.7,7.2
113.9,12
39.1,5.3
287.8,19.8
290.5,18.4
302.9,21.8
193.5,17.1
240.9,20.9
159.5,14.6
162.8,12.6
179.1,12.2
92,9.4
241.8,15.9
57.7,6.6
214.3,15.5
90.9,7
242,16.6
170.1,15.2
336,19.7
124.9,10.6
97.3,6.6
89.4,11.9
272.5,24.7
114.7,9.7
49,1.6
311.1,17.7
37.7,5.7
298.4,19.6
141.1,10.8
103.8,11.6
73.9,9.5
362.3,20.8
89.4,9.6
230.5,20.7
103.3,10.9
304.7,19.2
291.6,20.1
144.7,10.4
149.9,12.3
151.2,10.3
256.1,18.2
336.5,25.4
90.2,10.9
91.1,10.1
331.6,16.1
178.1,11.6
235.1,16.6
248.7,16
218.4,20.6
21.4,3.2
187.9,15.3
175.4,10.1
93.8,7.3
184.7,12.9
221.3,16.4
170.8,13.3
232.1,19.9
207.7,18
137.3,11.9
322.7,16.9
77.1,8
231.4,17.2
296.6,17.1
301.3,20
80,8.4
232.8,17.5
56.7,7.6
188.3,16.7
238.9,16.5
367.6,27
298.9,20.2
213.2,16.7
302.7,16.8
193.2,17.6
167.5,15.5
251.3,17.2
91.6,8.7
402.4,26.2
305.1,17.6
269.7,22.6
168.2,10.3
238,17.3
303.6,20.9
54.2,6.7
86.4,10.8
92.3,11.9
52.9,5.9
212.4,19.6
191.3,17.3
55.7,7.6
107.2,14
192.7,14.8
391.8,25.5
249.4,18.4
